naslov,avtor,dolzina,zvrst,o_pisatelju
"Ne povej, kaj si sanjala - zvočna knjiga na USB ključu",Feri Lainšček,131,roman,"Pisatelj, pesnik, dramatik in scenarist Feri Lain&scaron;ček (1959) živi in ustvarja v Murski Soboti. Njegova bibliografija obsega več kot 100 samostojnih knjižnih enot, med katerimi je 25 romanov, ki so večinoma že prevedeni v tuje jezike. Za svoja dela je prejel &scaron;tevilne nagrade: leta 1995 je za roman <em>Ki jo je megla prinesla</em> prejel nagrado Pre&scaron;ernovega sklada, leta 2021 pa Pre&scaron;ernovo nagrado za življenjsko delo. Kresnika je prejel dvakrat, leta 1992 za roman <em>Namesto koga roža cveti</em> in leta 2007 za roman <em>Muri&scaron;a</em>. Večernico je prejel leta 2001 za knjigo pravljic <em>Mislice</em>, desetnico leta 2012 za knjigo <em>Pesmi o Mi&scaron;ku in Belami&scaron;ki</em>. Z romanom <em>Kurji pastir</em> je bil znova uvr&scaron;čen med pet finalistov za nagrado kresnik. Feri Lain&scaron;ček je tudi slovenski pisatelj, čigar literarna dela so doživela največ filmskih adaptacij (Halgato, Moku&scaron;, Petelinji zajtrk, &Scaron;anghaj &hellip;)."
Terenske raziskave ukrajinskega seksa,Oksana Zabužko,168,roman,"Oksana Zabužko (1960) je ugledna ukrajinska filozofinja, esejistka, prozaistka in pesnica. Podpisala se je pod dvajset knjižnih naslovov najrazličnej&scaron;ih žanrov. Deluje kot izrazito angažirana intelektualka, posebej pa je cenjena zaradi književnih kritik in zdaj že kultnega romana Terenske raziskave ukrajinskega seksa. V svojih literarnih in esejističnih delih pozornost posveča predvsem ukrajinski samoidentifikaciji, postkolonialnim vpra&scaron;anjem in feminizmu. Diplomirala in nato tudi doktorirala je iz filozofije na Univerzi Tarasa &Scaron;evčenka v Kijevu. Bila je mlada raziskovalka na In&scaron;titutu za filozofijo Ukrajinske akademije znanosti, na ameri&scaron;kih univerzah pa je predavala ukrajinsko kulturo in književnost. Je redna kolumnistka vodilnih ukrajinskih medijev. V preteklosti je bila podpredsednica ukrajinskega PEN-a. Za roman Muzej pozabljenih skrivnosti je leta 2013 prejela nagrado angelus za najbolj&scaron;o srednjeevropsko knjigo. Njena dela so bila prevedena v več kot dvajset jezikov."
Mitrejin koder,Miha Remec,204,roman,"Miha Remec (1922, Ptuj) je pisec znanstvene fantastike. V svojih romanih raziskuje človeka in njegovo iskanje individualnosti, čustev, erotike, pogosto je družbenokritičen, &scaron;e posebej opozarja na ekolo&scaron;ko problematiko. Je avtor &scaron;tevilnih romanov, pesni&scaron;kih zbirk in dram. Je dvakratni dobitnik častne nagrade sfera."
Moje leto v Nikogaršnjem zalivu,Peter Handke,,roman,"Peter Handke (1942) je eden največjih živečih avtorjev na svetu. Za svoj izredno obsežen in kakovosten opus, ki obsega dramska besedila, filmske scenarije, poezijo in prozo, je leta 2019 prejel Nobelovo nagrado. Njegov slog je senzibilen, jezik izredno muzikalen in poetičen, prikaz dogajanja izostren in neizprosno iskren. Po materi ima Handke tudi koro&scaron;koslovenske korenine, Slovenija oziroma &scaron;e bolj Jugoslavija pa v njegovih delih zavzema mesto pravljične &raquo;devete dežele&laquo;, ki jo avtor (pretirano) idealizira. V skoraj vsakem njegovem delu najdemo čudovite opise Slovenije, sam je tudi prevajal dela slovenskih avtorjev (Florjana Lipu&scaron;a, Gustava Janu&scaron;a, Fabjana Hafnerja). V sloven&scaron;čino je prevedenih več njegovih del."
Dežela ZOO,Dušan Čater,200,roman,"Du&scaron;an Čater (1968) je pisatelj, prevajalec, scenarist in urednik, ki je na Univerzi v Ljubljani &scaron;tudiral novinarstvo in sociologijo. Delal je kot urednik založbe Karantanija ter kot kolumnist sodeloval pri nekaterih slovenskih časopisih in revijah, od leta 1995 deluje kot svobodni pisatelj. Izdal je tudi nekaj slikanic po ponarodelih motivih in pisal scenarije za televizijske oddaje ter nekaj izvirnih iger."
Knjige,Milan Kleč,272,roman,"Milan Kleč (1954)&nbsp;je eden najbolj plodovitih sodobnih slovenskih avtorjev, poznan je kot izvrsten prozni fabulator in kronist vsakdanjega življenja. Prejel je nagrado <em>zlata ptica </em>(1982)&nbsp;in sedem sekretarjev SKOJA (1989)&nbsp;ter istega leta, tj. 1989, tudi Župančičevo nagrado. Leta 2006 je prejel tudi nagrado Pre&scaron;ernovega sklada za književnost."
Kuga,Albert Camus,334,roman,"Albert Camus se je rodil leta 1913 v Alžiriji in je že v zgodnjem otro&scaron;tvu v vojni izgubil očeta, tako da se je iz&scaron;olal po zaslugi požrtvovalne matere in svojega neizmernega talenta, ki so ga opazili učitelji. V svojem prekratkem, a ustvarjalno razgibanem in plodnem življenju, je bil deležen &scaron;tevilnih najpomembnej&scaron;ih priznanj, med katerimi velja posebej izpostaviti Nobelovo nagrado za književnost, ki jo je prejel leta 1957, le tri leta pred svojo tragično smrtjo v prometni nesreči.&nbsp;"
Stekleni vrt,Tatiana Țîbuleac,240,roman,"Tatiana Ț&icirc;buleac (1978) se je rodila v Ki&scaron;injevu. Na Državni univerzi Moldavije v Ki&scaron;injevu je &scaron;tudirala novinarstvo in komunikologijo. Nekaj časa je delala kot televizijska poročevalka in voditeljica informativnih oddaj na ki&scaron;injevski neodvisni televiziji PRO TV in bila sodelavka Unicefa. Leta 2008 se je preselila v Pariz, kjer živi &scaron;e danes. Literarni prvenec Tatiane Ț&icirc;buleac je bila zbirka kratke proze Moderne fabule (2014). Za svojo drugo knjigo, roman Poletje, ko je mama imela zelene oči (2017), je prejela nagrado Dru&scaron;tva pisateljev Republike Moldavije in nagrado revije Observator Cultural. Knjiga je bila v prevedena v franco&scaron;čino, norve&scaron;čino, nem&scaron;čino, polj&scaron;čino in &scaron;pan&scaron;čino; slednji prevod (2019) je bil odlikovan z nagrado Casino de Santiago za evropsko romanopisje. Za svoj drugi roman Stekleni vrt (2018) je avtorica prejela nagrado EU za književnost; preveden je v franco&scaron;čino, &scaron;pan&scaron;čino, katalon&scaron;čino, hrva&scaron;čino, alban&scaron;čino in bolgar&scaron;čino. Tatiana Ț&icirc;buleac je za svoje literarno ustvarjanje prejela državno nagrado Republike Moldavije."
Vorošilovgrad,Serhij Žadan,450,roman,"Serhij Žadan (1974)&nbsp;je ukrajinski pisatelj, pesnik, esejist in prevajalec. Leta 1996 je diplomiral na Fakulteti za ukrajinsko-nem&scaron;ko filologijo harkovske nacionalne pedago&scaron;ke univerze, kjer je leta 2000 tudi doktoriral. Njegova literarna dela so prevedena v več tujih jezikov, prejel pa je tudi več domačih in tujih nagrad."
"Vesela sem, da je mami umrla",Jennette McCurdy,356,roman,"Jennette McCurdy (1992) je igralski poklic obesila na klin in se posvetila režiranju in pisateljevanju. Ljubezen do slednjega je odkrila že v zgodnjih najstni&scaron;kih letih, nazaj v življenje pa jo je obudila s pričujočim knjižnim prvencem. Njeni filmi so bili predvajani na &scaron;tevilnih festivalih, ameri&scaron;ki časniki občasno objavljajo njene eseje, ustvarja pa tudi podkast Empty Inside, v katerem z gosti načenja manj prijetne teme."
Zrno od frmntona,Marjan Tomšič,388,roman,"Marjan Tom&scaron;ič (1939-2023) je bil slovenski pisatelj in kulturni delavec, ki je v letih svojega ustvarjanja&nbsp;obveljal za najizrazitej&scaron;ega predstavnika slovenske različice magičnega realizma, obenem pa je to avtor, ki je Istro postavil na slovenski literarni zemljevid. Napisal je deset romanov, je avtor več zbirk kratkih zgodb, mladinskih del in pravljic, radijskih iger in dramskih besedil. Za svoje delo je prejel &scaron;tevilne nagrade, med drugim nagrado Pre&scaron;ernovega sklada.&nbsp;"
"Jaka in Vane, zgodba iz osemdesetih",Jani Virk,316,roman,"Jani Virk (1962) je pisatelj, pesnik, urednik in prevajalec. Na ljubljanski Filozofski fakulteti je do&scaron;tudiral primerjalno književnost in nem&scaron;čino, na nem&scaron;čini je kasneje doktoriral s temo srednjega veka v literaturi in filmu. Med letoma 1988 in 1989 je bil glavni urednik časnika Slovenec, kasneje pa se je zaposlil na RTV Slovenija, kjer je najprej deloval kot urednik kulturnih oddaj, od leta 1997 je bil urednik dokumentarnih oddaj, od leta 2005 pa odgovorni urednik kulturnih in umetni&scaron;kih programov. Izdal je sedemnajst avtorskih knjig, prevaja iz nem&scaron;čine, je tudi avtor &scaron;tevilnih dokumentarnih filmov.&nbsp;"
Pesnica,Tone Partljič,540,roman,"Tone Partljič, leta 1940 v Mariboru rojeni pisatelj, je začel dvajsetleten v &scaron;estdesetih letih pisati predvsem kraj&scaron;o socialno in satirično prozo. Ko se je odpravil v mestni gledali&scaron;ki svet, pa je napisal okoli trideset uspe&scaron;nih gledali&scaron;kih komedij, nekatere, <em>&Scaron;čuke pa ni</em>, <em>En dan resnice</em> in <em>Moj ata, socialistični kulak</em>, so igrali po vsej Jugoslaviji. Za <em>Kulaka </em>je prejel Grumovo nagrado, za ves komedijski opus pa Pre&scaron;ernovo nagrado za življenjsko delo -; gotovo zasluženo, saj je najteže nasmejati vedno nekam žalostne in malce jezne Slovence. Nekaj navdiha za komedijo je dobil tudi v času, ko je bil državni poslanec. Odkar je upokojen, pi&scaron;e obsežnej&scaron;e prozne knjige, najraje romane."
V visoki travi,Gabriela Babnik,264,roman,"Gabriela Babnik (1979) je diplomirala iz primerjalne književnosti in literarne teorije ter 2009 magistrirala iz nigerijskega modernega romana. Od leta 2002 se z ocenami in analizami literarnih del redno pojavlja v revijalni publicistiki. Za roman Koža iz bombaža (2007) je prejela nagrado Slovenskega knjižnega sejma za najbolj&scaron;i prvenec. Za roman Su&scaron;na doba, ki je preveden v več kot deset jezikov, je leta 2013 prejela nagrado Evropske unije, za svoje kriti&scaron;ko delo pa istega leta &scaron;e Stritarjevo nagrado. Poleg pisateljevanja tudi prevaja, večinoma afri&scaron;ke avtorje, in pi&scaron;e radijske igre."
Grešnik na kvadrat,Feliks Plohl,308,roman,"Feliks Plohl se je rodil leta 1973 v Bihaću (BiH), kjer je končal naravoslovno gimnazijo. Že zelo zgodaj je pri sebi odkril talent za pisanje. Ta se je verjetno razvil pod vplivom ogromnega &scaron;tevila knjig, ki jih je požiral že od prvega razreda, ko je pri&scaron;el v stik s &scaron;olsko knjižnico. Sredi osnovne &scaron;ole je imel napisane tri &raquo;nindža&laquo; romane, ki jih ni nikoli dokončal, nato pa se je posvetil znanstveni fantastiki. Po mamini smrti je že pri &scaron;tirinajstih zaživel sam, saj je oče živel v Sloveniji. Močno ga je zaznamovala tudi vojna ob razpadu Jugoslavije. Na začetku leta 1994 je bil obsojen na osem let zapora, a v kaosu povojnega obdobja ostal na prostosti in se najprej preselil v Slovenijo, od koder se je po treh letih namenil v Kanado, nato pa je kar sedem let živel v Los Angelesu. Znova je začel pisati na Dobu, kjer je nazadnje odslužil zaporno kazen. Trenutno živi na Danskem."
Uroki polne lune 2,Marjan Tomšič,286,roman,"Marjan Tom&scaron;ič (1939-2023) je bil slovenski pisatelj in kulturni delavec, ki je v letih svojega ustvarjanja&nbsp;obveljal za najizrazitej&scaron;ega predstavnika slovenske različice magičnega realizma, obenem pa je to avtor, ki je Istro postavil na slovenski literarni zemljevid. Napisal je deset romanov, je avtor več zbirk kratkih zgodb, mladinskih del in pravljic, radijskih iger in dramskih besedil. Za svoje delo je prejel &scaron;tevilne nagrade, med drugim nagrado Pre&scaron;ernovega sklada.&nbsp;"
Žalost Belgije,Hugo Claus,853,roman,"Hugo Claus (1930-;2008, Bruges, Belgija) je po mnenju mnogih najpomembnej&scaron;i flamski pisatelj. V romanu Žalost Belgije, ki je svojevrstna avtobiografija, se je lotil zablod katoli&scaron;tva in nacionalizma. Za svoja dela je prejel &scaron;tevilne nacionalne in mednarodne nagrade."
Obris,Rachel Cusk,222,roman,"Rachel Cusk (1967) je kanadsko-britanska pisateljica. Njen prvi roman je iz&scaron;el leta 1993, poleg literarne slave pa so veliko zanimanja zbudili tudi njeni eseji, predvsem Življenjsko delo: kako postane&scaron; mati (2001) in Aftermath: On Marriage and SeparationPosledice: O zakonu in ločitvi (2012). Zaradi neposrednega nagovarjanja tabuiziranih tem, kakr&scaron;ni sta ločitev in materinstvo, ki ju je obdelala z neizprosne in kritične perspektive, so jo oklicali za najbolj osovraženo žensko v Britaniji. Leta 2014 je iz&scaron;el prvi del trilogije romanov, ki nosi krovni naslov Obris -; s katerim je dosegla mednarodno pisateljsko slavo. Danes velja za eno najpomembnej&scaron;ih sodobnih pisateljic."
Spet najdeni čas,Marcel Proust,552,roman,"Marcel Proust (1871-;1922) velja za velikana svetovne književnosti, naslednika francoskih realistov in znanilca moderne proze 20. stoletja. Po mladostnih poskusih, med katere sodi v sloven&scaron;čino prevedena zbirka Radosti in dnevi, je pri petintridesetih začel pisati Iskanje izgubljenega časa. Ta je nastajal do njegove smrti. Pari&scaron;ki saloni in obmorska letovi&scaron;ča so predstavljali Proustov resnični kot tudi literarni poligon. Pečat je pustil zlasti s podrobnimi opisi stvarnosti, pravzaprav evokacijami preteklih časov in prostorov, ki za posameznika niso ne zunanji in ne minljivi."
Constance ali Urjenje v samoti,Lawrence Durrell,484,roman,"Lawrence Durrell (1912-;1990) je eden najslavnej&scaron;ih in najbolje prodajanih angle&scaron;kih romanopiscev poznega 20. stoletja. Rojen je bil v Indiji, v &scaron;olo pa je bil poslan v Anglijo, kjer, vajen raznolikih vplivov Orienta, ni zdržal, zato je mater prepričal, da se z družino preselijo na otok Krf. V Grčiji je ostal do druge svetovne vojne, med katero je s čolnom zbežal na Kreto in od tam v Egipt. V Kairu in Aleksandriji je ostal do konca vojne in tam opravljal službo tiskovnega diplomata pri angle&scaron;kem &scaron;tabu za Srednji vzhod. Rezultat vtisov iz severne Afrike, Sredozemlja in Male Azije je&nbsp;<em>Aleksandrijski kvartet</em>, ki ga je napisal mnogo let pozneje, v &scaron;estdesetih letih prej&scaron;njega stoletja, ko je živel v Franciji, in sicer v Languedocu v vasici Sommi&egrave;res, kjer je ustvaril tudi&nbsp;<em>Avignonski kvintet</em>."
